epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,152.721,1.2338,2.74721,1.40536,0.23333,1,0.75167,0.46649,0.93327,2.55158,1.1518,0.0002674,0.0002674,0.0002674
39,156.501,1.13724,3.56683,1.36951,0.75311,0.57143,0.81227,0.50705,0.96554,1.96261,1.23876,0.0002476,0.0002476,0.0002476
40,160.035,1.18628,2.65806,1.35386,0.75311,0.57143,0.81227,0.50705,0.96554,1.96261,1.23876,0.0002278,0.0002278,0.0002278
41,163.512,1.22157,2.41147,1.47271,0.75311,0.57143,0.81227,0.50705,0.96554,1.96261,1.23876,0.000208,0.000208,0.000208
42,166.881,1.03779,2.62892,1.31866,0.75311,0.57143,0.81227,0.50705,0.96554,1.96261,1.23876,0.0001882,0.0001882,0.0001882
43,170.285,0.91518,2.7154,1.27004,0.75311,0.57143,0.81227,0.50705,0.96554,1.96261,1.23876,0.0001684,0.0001684,0.0001684
44,173.676,1.17589,2.47585,1.54566,0.75311,0.57143,0.81227,0.50705,0.96554,1.96261,1.23876,0.0001486,0.0001486,0.0001486
45,177.03,0.98029,2.44278,1.27068,0.75311,0.57143,0.81227,0.50705,0.96554,1.96261,1.23876,0.0001288,0.0001288,0.0001288
46,180.423,1.36985,2.68222,1.5135,0.75311,0.57143,0.81227,0.50705,0.96554,1.96261,1.23876,0.000109,0.000109,0.000109
47,183.751,0.8758,2.36752,1.11266,0.75311,0.57143,0.81227,0.50705,0.96554,1.96261,1.23876,8.92e-05,8.92e-05,8.92e-05
48,187.064,1.31358,2.58192,1.49265,0.75311,0.57143,0.81227,0.50705,0.96554,1.96261,1.23876,6.94e-05,6.94e-05,6.94e-05
49,190.444,0.94089,2.53817,1.2254,0.62486,0.95479,0.84227,0.54335,1.03704,1.53942,1.2076,4.96e-05,4.96e-05,4.96e-05
50,193.919,0.95566,2.49221,1.27846,0.62486,0.95479,0.84227,0.54335,1.03704,1.53942,1.2076,2.98e-05,2.98e-05,2.98e-05
